Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Rating,day_of_week,month,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_change,future_demand_7,stock_estime,reapprovisionnement,stock_threshold
A,Yangon,Normal,Male,Food and beverages,43.19,10,8.2,3,2,6.5,6.5,4.949747468305833,,5.0,13.0,0.0,52.92462120245875
A,Yangon,Normal,Female,Health and beauty,71.38,10,5.7,4,3,6.75,6.75,3.4034296427770228,,9.0,27.0,0.0,52.355144464165534
B,Mandalay,Member,Female,Sports and travel,93.72,6,4.5,1,1,6.5,6.5,0.7071067811865476,,6.0,13.0,0.0,46.56066017177982
A,Yangon,Member,Female,Health and beauty,68.93,7,4.6,0,3,6.8,6.8,2.949576240750525,,8.0,34.0,0.0,52.02436436112579
A,Yangon,Normal,Male,Sports and travel,72.61,6,6.9,1,1,6.333333333333333,6.333333333333333,0.5773502691896257,,3.0,19.0,0.0,45.19935873711777
A,Yangon,Normal,Male,Food and beverages,54.67,3,8.6,0,1,5.333333333333333,5.333333333333333,4.041451884327381,,10.0,16.0,0.0,43.3955111598244
B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.4,0,3,6.333333333333333,6.333333333333333,4.041451884327381,,2.0,19.0,0.0,50.3955111598244
C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,4.8,0,2,5.333333333333333,5.333333333333333,1.0327955589886446,,6.0,32.0,0.0,38.882526671816294
B,Mandalay,Normal,Male,Health and beauty,87.98,3,5.1,1,3,6.166666666666667,6.166666666666667,3.0605010483034745,,4.0,37.0,0.0,47.75741823912188
B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,4.4,4,3,5.25,5.25,3.947573094109004,,10.0,21.0,0.0,42.671359641163505
A,Yangon,Normal,Male,Electronic accessories,34.56,5,9.9,6,2,5.285714285714286,5.285714285714286,0.951189731211342,,10.0,37.0,0.0,38.426784596817015
A,Yangon,Member,Male,Sports and travel,88.63,3,6.0,5,3,5.5,5.5,1.7320508075688772,,9.0,22.0,0.0,41.098076211353316
A,Yangon,Member,Female,Home and lifestyle,52.59,8,8.5,4,3,5.8,5.8,3.6331804249169903,,6.0,29.0,0.0,46.04977063737549
B,Mandalay,Normal,Male,Fashion accessories,33.52,1,6.7,4,2,2.5,2.5,2.1213203435596424,,10.0,5.0,0.0,20.681980515339465
A,Yangon,Normal,Female,Fashion accessories,87.67,2,7.7,6,3,2.3333333333333335,2.3333333333333335,1.5275252316519468,,9.0,7.0,0.0,18.624621180811257
B,Mandalay,Normal,Female,Food and beverages,88.36,5,9.6,4,1,5.25,5.25,3.304037933599835,,3.0,21.0,0.0,41.70605690039975
A,Yangon,Normal,Male,Health and beauty,24.89,9,7.4,4,3,6.571428571428571,6.571428571428571,2.9920529661723823,,10.0,46.0,0.0,50.48807944925857
B,Mandalay,Normal,Male,Fashion accessories,94.13,5,4.8,0,2,3.0,3.0,1.8257418583505538,,9.0,12.0,0.0,23.73861278752583
B,Mandalay,Member,Male,Sports and travel,78.07,9,4.5,0,1,6.2,6.2,2.16794833886788,,10.0,31.0,0.0,46.651922508301816
B,Mandalay,Normal,Male,Sports and travel,83.78,8,5.1,3,1,6.5,6.5,2.073644135332772,,10.0,39.0,0.0,48.610466202999156
A,Yangon,Normal,Male,Health and beauty,96.58,2,5.1,4,3,5.857142857142857,6.0,3.4364987719368982,-0.7142857142857143,2.0,48.0,0.0,46.154748157905345
C,Naypyitaw,Member,Female,Food and beverages,99.42,4,7.5,2,2,5.0,5.0,2.9154759474226504,,10.0,25.0,0.0,39.373213921133974
C,Naypyitaw,Member,Female,Sports and travel,68.12,1,6.8,0,1,5.714285714285714,5.714285714285714,2.811540841738193,,5.0,40.0,0.0,44.21731126260729
A,Yangon,Member,Male,Sports and travel,62.62,5,7.0,6,3,5.428571428571429,5.625,2.760262237369417,-0.2857142857142857,7.0,45.0,0.0,42.140393356054126
A,Yangon,Normal,Female,Electronic accessories,60.88,9,4.7,1,1,5.857142857142857,5.75,1.6761634196950514,0.8,1.0,46.0,0.0,43.51424512954258
C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,7.6,5,3,5.857142857142857,6.222222222222222,3.4364987719368982,0.0,1.0,56.0,0.0,46.154748157905345
B,Mandalay,Member,Male,Home and lifestyle,30.12,8,7.7,6,3,6.166666666666667,6.166666666666667,3.3714487489307423,,9.0,37.0,0.0,48.22383979006278
B,Mandalay,Member,Female,Home and lifestyle,86.72,1,7.9,3,1,5.428571428571429,5.428571428571429,3.6449573777637356,,4.0,38.0,0.0,43.467436066645604
C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,6.3,5,2,4.714285714285714,5.0,3.773340063934768,-0.7142857142857143,6.0,40.0,0.0,38.66001009590215
B,Mandalay,Member,Female,Sports and travel,69.12,6,5.6,4,2,5.428571428571429,5.666666666666667,2.760262237369417,0.0,1.0,51.0,0.0,42.140393356054126
C,Naypyitaw,Member,Female,Food and beverages,98.7,8,7.6,0,3,5.5,5.5,2.8809720581775866,,3.0,33.0,0.0,42.82145808726638
C,Naypyitaw,Member,Male,Health and beauty,15.37,2,7.2,5,3,5.857142857142857,5.8,3.4364987719368982,0.0,5.0,58.0,0.0,46.154748157905345
B,Mandalay,Member,Female,Electronic accessories,93.96,4,9.5,5,3,5.428571428571429,5.555555555555555,1.7182493859684491,-0.4285714285714286,6.0,50.0,0.0,40.57737407895267
B,Mandalay,Member,Male,Health and beauty,56.69,9,8.4,2,2,5.714285714285714,6.090909090909091,3.251373336211726,-0.09999999999999998,6.0,67.0,0.0,44.87706000431759
B,Mandalay,Member,Female,Food and beverages,20.01,9,4.1,2,2,6.0,6.0,2.943920288775949,,8.0,42.0,0.0,46.41588043316392
B,Mandalay,Member,Male,Electronic accessories,18.93,6,8.1,6,2,5.428571428571429,5.6,1.7182493859684491,0.0,9.0,56.0,0.0,40.57737407895267
C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,7.9,1,3,4.4,4.4,3.507135583350036,,5.0,22.0,0.0,36.06070337502506
C,Naypyitaw,Member,Male,Food and beverages,91.4,7,9.5,6,2,6.571428571428571,6.125,2.63673679998231,1.3333333333333335,4.0,49.0,0.0,49.95510519997347
A,Yangon,Member,Female,Food and beverages,44.59,5,8.5,6,2,5.857142857142857,6.0,2.193062655175134,-0.5,7.0,54.0,0.0,44.2895939827627
B,Mandalay,Member,Female,Fashion accessories,17.87,4,6.5,4,3,4.333333333333333,4.333333333333333,3.1411250638372654,,1.0,26.0,0.0,35.04502092908923
C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,6.1,4,1,3.857142857142857,3.857142857142857,3.132015933791495,,9.0,27.0,0.0,31.698023900687243
B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,6.5,3,3,3.5714285714285716,4.666666666666667,3.04724700110022,-0.8,9.0,42.0,0.0,29.57087050165033
C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,8.2,3,2,6.0,5.818181818181818,1.8257418583505538,1.0,10.0,64.0,0.0,44.73861278752583
A,Yangon,Member,Male,Home and lifestyle,44.34,2,5.8,2,3,3.5714285714285716,4.4,3.04724700110022,0.0,9.0,44.0,0.0,29.57087050165033
A,Yangon,Normal,Male,Health and beauty,89.6,8,6.6,3,2,5.857142857142857,6.25,3.3380918415851206,0.1428571428571428,6.0,75.0,0.0,46.00713776237768
A,Yangon,Member,Female,Home and lifestyle,72.35,10,5.4,6,1,4.714285714285714,4.909090909090909,3.773340063934768,4.0,2.0,54.0,0.0,38.66001009590215
C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.3,1,3,6.142857142857143,5.833333333333333,1.7728105208558367,0.19999999999999996,10.0,70.0,0.0,45.659215781283756
C,Naypyitaw,Member,Female,Sports and travel,24.74,3,10.0,4,2,5.0,5.4,2.886751345948129,-0.5,10.0,54.0,0.0,39.33012701892219
C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,7.0,6,2,4.428571428571429,5.0,3.5523298860110977,-0.25,8.0,60.0,0.0,36.32849482901665
B,Mandalay,Member,Female,Sports and travel,55.07,9,10.0,6,2,5.857142857142857,5.7272727272727275,3.0783421635988546,2.0,7.0,63.0,0.0,45.617513245398285
A,Yangon,Member,Male,Sports and travel,15.81,10,8.6,2,3,6.0,6.083333333333333,3.265986323710904,0.11111111111111116,6.0,73.0,0.0,46.89897948556636
B,Mandalay,Member,Male,Health and beauty,75.74,4,7.6,3,2,6.0,6.076923076923077,3.214550253664318,0.33333333333333326,9.0,79.0,0.0,46.82182538049648
A,Yangon,Member,Male,Health and beauty,15.87,10,5.8,2,3,6.142857142857143,6.357142857142857,3.38765264987284,0.11111111111111116,1.0,89.0,0.0,48.08147897480926
C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,6.7,6,2,6.142857142857143,6.0,3.38765264987284,0.0,10.0,91.0,0.0,48.08147897480926
B,Mandalay,Member,Female,Fashion accessories,97.61,6,9.9,0,1,4.142857142857143,4.125,3.236694374850748,0.5,6.0,33.0,0.0,33.85504156227613
A,Yangon,Normal,Male,Sports and travel,78.77,10,6.4,3,1,6.285714285714286,6.384615384615385,3.545621041711673,0.25,2.0,83.0,0.0,49.31843156256751
A,Yangon,Member,Female,Health and beauty,18.33,1,4.3,5,2,5.142857142857143,5.5,3.7606990231680526,-0.875,7.0,92.0,0.0,41.64104853475208
C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,9.6,6,1,6.857142857142857,6.4,2.2677868380553634,2.3333333333333335,3.0,64.0,0.0,51.401680257083044
C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,5.9,0,2,5.428571428571429,4.777777777777778,3.5523298860110972,9.0,7.0,43.0,0.0,43.32849482901665
B,Mandalay,Member,Female,Food and beverages,48.52,3,4.0,1,3,6.571428571428571,6.090909090909091,2.63673679998231,-0.4,6.0,67.0,0.0,49.95510519997347
C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,8.7,5,3,6.285714285714286,5.846153846153846,1.7043362064926932,0.19999999999999996,8.0,76.0,0.0,46.55650430973904
A,Yangon,Normal,Male,Home and lifestyle,74.67,9,9.4,1,1,4.571428571428571,5.3076923076923075,3.7352886036263584,0.125,7.0,69.0,0.0,37.60293290543954
C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,5.4,6,1,7.0,6.142857142857143,2.0816659994661326,1.0,6.0,86.0,0.0,52.1224989991992
C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,8.6,2,1,6.428571428571429,5.2,3.408672412985386,3.5,3.0,52.0,0.0,50.11300861947808
A,Yangon,Member,Female,Fashion accessories,20.01,9,5.7,5,1,7.0,5.545454545454546,3.4641016151377544,0.8,5.0,61.0,0.0,54.19615242270663
C,Naypyitaw,Member,Female,Food and beverages,78.31,10,6.6,1,3,7.428571428571429,6.416666666666667,2.63673679998231,1.5,9.0,77.0,0.0,55.95510519997347
C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,6.0,1,1,5.571428571428571,5.714285714285714,3.5050983275386565,1.5,3.0,97.0,0.0,44.257647491307985
C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,5.5,0,1,5.142857142857143,5.428571428571429,3.184785258515422,-0.33333333333333337,6.0,103.0,0.0,40.777177887773135
B,Mandalay,Normal,Female,Food and beverages,96.68,3,6.4,5,1,6.714285714285714,6.153846153846154,3.093772546815388,-0.625,10.0,80.0,0.0,51.64065882022308
C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,6.6,2,1,6.571428571428571,6.285714285714286,2.9920529661723827,-0.11111111111111116,8.0,88.0,0.0,50.48807944925858
C,Naypyitaw,Member,Female,Food and beverages,80.36,4,8.3,5,2,6.142857142857143,6.357142857142857,3.132015933791495,-0.4285714285714286,1.0,92.0,0.0,47.69802390068724
C,Naypyitaw,Member,Male,Sports and travel,48.91,5,6.6,5,3,6.857142857142857,6.285714285714286,2.794552524023087,4.0,7.0,88.0,0.0,52.191828786034634
C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,4.0,1,3,7.142857142857143,6.285714285714286,2.672612419124243,0.3999999999999999,9.0,95.0,0.0,54.00891862868637
C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,9.9,0,3,6.285714285714286,5.5,3.251373336211726,-0.5,1.0,66.0,0.0,48.87706000431759
A,Yangon,Member,Male,Food and beverages,49.38,7,7.3,2,3,6.428571428571429,6.142857142857143,3.101458950082625,0.3999999999999999,6.0,99.0,0.0,49.65218842512394
A,Yangon,Normal,Male,Sports and travel,42.47,1,5.7,2,1,6.428571428571429,5.928571428571429,3.5523298860110972,-0.8333333333333334,5.0,96.0,0.0,50.32849482901665
B,Mandalay,Normal,Female,Health and beauty,76.99,6,6.1,2,2,4.857142857142857,5.357142857142857,2.968084198523319,-0.25,10.0,109.0,0.0,38.45212629778498
C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,7.1,2,1,5.0,5.214285714285714,3.415650255319866,3.0,6.0,73.0,0.0,40.1234753829798
C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,8.2,5,1,7.428571428571429,6.214285714285714,3.408672412985386,2.3333333333333335,9.0,106.0,0.0,57.11300861947808
A,Yangon,Member,Female,Sports and travel,21.98,7,5.1,3,1,7.142857142857143,6.5,3.3380918415851197,-0.2222222222222222,6.0,113.0,0.0,55.00713776237768
B,Mandalay,Member,Male,Health and beauty,64.36,9,8.6,1,3,5.571428571428571,5.785714285714286,3.3094381626464866,1.25,10.0,118.0,0.0,43.96415724396973
C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,6.6,2,2,4.285714285714286,5.214285714285714,3.0394235042348474,-0.9,6.0,119.0,0.0,34.55913525635227
A,Yangon,Normal,Male,Electronic accessories,97.16,1,7.2,4,3,5.857142857142857,5.857142857142857,2.853569193634026,-0.8888888888888888,5.0,87.0,0.0,45.28035379045104
B,Mandalay,Normal,Male,Health and beauty,87.87,10,5.1,4,3,5.428571428571429,5.785714285714286,3.505098327538656,4.0,4.0,129.0,0.0,43.257647491307985
C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,4.1,5,2,6.142857142857143,5.785714285714286,2.734262327610589,0.5,1.0,93.0,0.0,47.101393491415884
A,Yangon,Normal,Male,Food and beverages,52.75,3,9.3,5,3,5.428571428571429,6.142857142857143,2.878491668515698,-0.7,5.0,102.0,0.0,42.31773750277355
B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,7.4,1,3,5.571428571428571,5.142857142857143,3.154739442867026,2.0,6.0,79.0,0.0,43.73210916430054
C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,4.1,1,3,5.857142857142857,5.153846153846154,3.7606990231680517,-0.75,8.0,67.0,0.0,46.64104853475208
C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,7.2,4,3,7.0,5.428571428571429,3.214550253664318,8.0,9.0,76.0,0.0,53.82182538049648
C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,4.9,4,2,6.571428571428571,6.0,2.9358214555806383,0.5,8.0,102.0,0.0,50.403732183370956
A,Yangon,Normal,Male,Food and beverages,58.26,6,9.9,3,3,5.857142857142857,6.214285714285714,2.672612419124244,1.0,8.0,108.0,0.0,45.00891862868637
B,Mandalay,Normal,Male,Health and beauty,30.35,7,8.0,1,3,6.285714285714286,5.714285714285714,2.9277002188455987,6.0,8.0,136.0,0.0,48.391550328268394
A,Yangon,Member,Male,Electronic accessories,88.67,10,7.3,5,1,6.857142857142857,6.428571428571429,3.1847852585154217,0.25,6.0,112.0,0.0,52.777177887773135
C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,7.9,5,1,7.0,5.571428571428571,3.214550253664318,0.0,7.0,82.0,0.0,53.82182538049648
A,Yangon,Normal,Male,Sports and travel,62.13,6,7.4,4,3,6.571428571428571,6.285714285714286,3.101458950082624,-0.4,4.0,119.0,0.0,50.65218842512394
C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,4.2,6,3,5.714285714285714,6.571428571428571,2.4299715851758243,-0.09999999999999998,7.0,117.0,0.0,43.64495737776374
C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,9.2,6,3,7.428571428571429,6.785714285714286,3.3594217189442417,0.6666666666666667,5.0,122.0,0.0,57.039132578416364
B,Mandalay,Member,Female,Sports and travel,16.49,2,4.6,1,2,5.428571428571429,5.857142857142857,3.1014589500826246,-0.8,10.0,121.0,0.0,42.65218842512394
C,Naypyitaw,Member,Female,Health and beauty,98.21,3,7.8,1,2,6.0,5.785714285714286,3.162277660168379,-0.4,9.0,139.0,0.0,46.74341649025257
B,Mandalay,Normal,Female,Fashion accessories,72.84,7,8.4,4,2,6.571428571428571,6.0,2.935821455580638,-0.30000000000000004,3.0,89.0,0.0,50.403732183370956
A,Yangon,Member,Male,Home and lifestyle,58.07,9,4.3,5,1,6.571428571428571,5.071428571428571,2.9358214555806392,3.5,8.0,88.0,0.0,50.40373218337096
C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,9.5,4,2,7.571428571428571,5.571428571428571,2.2253945610567487,3.5,5.0,97.0,0.0,56.338091841585126
C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,7.1,5,3,5.714285714285714,6.071428571428571,2.9840847683606273,-0.6666666666666667,10.0,92.0,0.0,44.47612715254094
B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.3,1,3,5.142857142857143,6.071428571428571,2.6095064302514763,-0.4444444444444444,4.0,97.0,0.0,39.914259645377214
B,Mandalay,Member,Male,Fashion accessories,51.36,1,5.2,2,1,4.571428571428571,5.428571428571429,3.0472470011002186,-0.8,9.0,98.0,0.0,36.570870501650326
A,Yangon,Normal,Female,Food and beverages,10.96,10,6.0,5,2,6.714285714285714,6.714285714285714,2.5634797778466236,2.3333333333333335,10.0,127.0,0.0,50.845219666769935
B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,4.1,6,1,6.428571428571429,5.571428571428571,2.7602622373694174,-0.8,10.0,99.0,0.0,49.140393356054126
A,Yangon,Normal,Female,Electronic accessories,99.56,8,5.2,3,2,7.714285714285714,7.0,3.3022358947782484,0.33333333333333326,4.0,130.0,0.0,58.953353842167374
C,Naypyitaw,Member,Male,Sports and travel,57.12,7,6.5,5,1,5.714285714285714,6.285714285714286,3.147183169877772,0.3999999999999999,8.0,128.0,0.0,44.72077475481666
B,Mandalay,Member,Male,Sports and travel,99.96,9,4.2,5,3,6.0,6.571428571428571,3.366501646120692,0.2857142857142858,10.0,137.0,0.0,47.04975246918104
C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,4.6,2,3,6.714285714285714,5.571428571428571,2.8115408417381933,0.33333333333333326,9.0,107.0,0.0,51.21731126260729
B,Mandalay,Member,Female,Fashion accessories,56.47,8,7.3,5,3,5.571428571428571,5.714285714285714,2.8199966227605566,7.0,10.0,106.0,0.0,43.229994934140834
A,Yangon,Normal,Female,Home and lifestyle,93.69,7,4.5,6,3,6.428571428571429,5.5,2.63673679998231,-0.2222222222222222,8.0,114.0,0.0,48.95510519997347
A,Yangon,Normal,Female,Sports and travel,32.25,5,9.0,6,1,6.571428571428571,6.5,2.636736799982309,4.0,7.0,142.0,0.0,49.95510519997346
C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,5.9,1,1,5.571428571428571,6.285714285714286,2.8199966227605566,0.0,7.0,115.0,0.0,43.229994934140834
C,Naypyitaw,Member,Female,Food and beverages,68.54,8,8.5,1,1,6.714285714285714,6.642857142857143,2.5634797778466236,0.0,6.0,135.0,0.0,50.845219666769935
B,Mandalay,Normal,Female,Sports and travel,90.28,9,7.2,4,2,6.428571428571429,6.928571428571429,2.439750182371332,-0.09999999999999998,8.0,151.0,0.0,48.659625273557
B,Mandalay,Normal,Female,Fashion accessories,39.62,7,7.5,4,1,5.714285714285714,6.357142857142857,2.8702082220799303,0.16666666666666674,7.0,122.0,0.0,44.30531233311989
A,Yangon,Member,Female,Sports and travel,92.13,6,8.3,2,3,6.285714285714286,6.714285714285714,2.4299715851758226,-0.1428571428571429,6.0,157.0,0.0,47.64495737776373
B,Mandalay,Normal,Female,Sports and travel,34.84,4,7.4,6,2,6.0,6.285714285714286,2.5819888974716108,-0.33333333333333337,1.0,161.0,0.0,45.87298334620742
B,Mandalay,Member,Male,Electronic accessories,87.45,6,8.8,6,2,7.142857142857143,7.071428571428571,3.1847852585154217,-0.4,7.0,136.0,0.0,54.777177887773135
C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,5.3,4,3,6.0,5.571428571428571,3.162277660168379,0.0,8.0,145.0,0.0,46.74341649025257
C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,6.2,0,2,5.142857142857143,5.857142857142857,2.968084198523317,-0.5714285714285714,2.0,125.0,0.0,40.45212629778497
A,Yangon,Normal,Female,Electronic accessories,26.31,5,8.8,4,1,7.714285714285714,6.785714285714286,2.05866345916355,4.0,9.0,141.0,0.0,57.087995188745325
A,Yangon,Member,Female,Home and lifestyle,34.42,6,9.8,0,2,6.714285714285714,5.857142857142857,2.4299715851758243,0.5,4.0,120.0,0.0,50.64495737776374
B,Mandalay,Normal,Male,Sports and travel,51.91,10,8.2,5,2,7.142857142857143,6.285714285714286,2.2677868380553616,4.0,2.0,171.0,0.0,53.401680257083044
A,Yangon,Normal,Male,Sports and travel,72.5,8,9.2,5,3,7.285714285714286,6.5,2.2886885410853153,0.1428571428571428,7.0,179.0,0.0,54.433032811627974
C,Naypyitaw,Member,Female,Sports and travel,89.8,10,5.4,2,1,7.428571428571429,6.714285714285714,2.439750182371331,0.11111111111111116,10.0,189.0,0.0,55.659625273557
C,Naypyitaw,Member,Male,Health and beauty,90.5,10,8.1,4,1,6.571428571428571,5.714285714285714,3.505098327538656,0.6666666666666667,5.0,155.0,0.0,51.257647491307985
C,Naypyitaw,Member,Female,Health and beauty,68.6,10,9.1,1,2,6.714285714285714,6.142857142857143,3.6384193323605833,0.11111111111111116,3.0,165.0,0.0,52.457628998540876
C,Naypyitaw,Member,Female,Food and beverages,30.41,1,8.4,4,2,6.285714285714286,6.214285714285714,3.251373336211727,-0.75,5.0,136.0,0.0,48.87706000431759
A,Yangon,Normal,Female,Home and lifestyle,77.95,6,8.0,0,1,6.714285714285714,6.142857142857143,2.4299715851758243,0.0,1.0,126.0,0.0,50.64495737776374
C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,9.5,4,3,7.428571428571429,5.857142857142857,2.699206232527311,5.0,8.0,171.0,0.0,56.04880934879097
A,Yangon,Member,Female,Fashion accessories,30.14,10,9.2,6,2,6.142857142857143,5.928571428571429,3.2877840272018792,2.3333333333333335,1.0,135.0,0.0,47.93167604080282
C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,5.6,1,3,6.571428571428571,6.0,2.6992062325273114,-0.6,2.0,175.0,0.0,50.04880934879097
B,Mandalay,Member,Male,Home and lifestyle,71.86,8,6.2,2,3,6.571428571428571,6.571428571428571,2.2990681342044406,-0.11111111111111116,4.0,134.0,0.0,49.44860220130666
A,Yangon,Normal,Male,Health and beauty,32.46,8,4.9,2,3,6.714285714285714,6.5,2.7516228977511736,0.1428571428571428,4.0,183.0,0.0,51.12743434662676
B,Mandalay,Member,Female,Fashion accessories,91.54,4,4.8,5,3,6.0,5.571428571428571,3.366501646120692,-0.19999999999999996,3.0,139.0,0.0,47.04975246918104
C,Naypyitaw,Member,Male,Sports and travel,34.56,7,7.3,0,3,7.714285714285714,7.142857142857143,2.21466970556828,0.3999999999999999,7.0,196.0,0.0,57.32200455835242
A,Yangon,Normal,Male,Fashion accessories,83.24,9,7.4,1,1,7.142857142857143,5.857142857142857,2.6726124191242446,8.0,8.0,148.0,0.0,54.00891862868637
C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,9.9,3,2,6.142857142857143,6.285714285714286,3.2366943748507486,-0.1428571428571429,8.0,142.0,0.0,47.85504156227612
C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,9.3,0,1,7.571428571428571,7.0,2.1491969707422367,-0.11111111111111116,6.0,204.0,0.0,56.22379545611336
A,Yangon,Member,Male,Food and beverages,92.29,5,9.0,2,2,6.428571428571429,5.928571428571429,2.992052966172383,0.6666666666666667,8.0,147.0,0.0,49.48807944925858
B,Mandalay,Member,Male,Electronic accessories,72.17,1,6.1,4,1,7.0,6.571428571428571,3.2659863237109037,-0.8333333333333334,9.0,142.0,0.0,53.89897948556636
B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,9.7,3,3,6.0,6.785714285714286,2.0816659994661326,-0.4444444444444444,3.0,139.0,0.0,45.1224989991992
B,Mandalay,Member,Male,Health and beauty,97.22,9,6.0,5,3,7.571428571428571,6.785714285714286,2.2990681342044383,2.0,10.0,192.0,0.0,56.448602201306656
B,Mandalay,Normal,Male,Sports and travel,93.39,6,10.0,2,3,7.571428571428571,6.928571428571429,2.1491969707422367,0.0,3.0,210.0,0.0,56.22379545611336
C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,8.3,5,1,6.714285714285714,6.285714285714286,3.039423504234848,0.33333333333333326,6.0,155.0,0.0,51.55913525635227
A,Yangon,Normal,Male,Sports and travel,63.69,1,6.0,0,2,7.142857142857143,6.571428571428571,3.078342163598853,-0.75,7.0,211.0,0.0,54.61751324539828
A,Yangon,Normal,Male,Food and beverages,45.79,7,7.0,2,3,6.428571428571429,6.071428571428571,2.8784916685156983,-0.2222222222222222,8.0,162.0,0.0,49.31773750277355
C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,6.5,2,1,6.0,6.571428571428571,3.3166247903553985,-0.8,5.0,213.0,0.0,46.9749371855331
B,Mandalay,Normal,Male,Food and beverages,39.9,10,5.9,2,2,6.428571428571429,6.571428571428571,2.8784916685156983,0.0,3.0,172.0,0.0,49.31773750277355
