Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,year,month,day,weekday,is_weekend,is_holiday,Total_Sales,Rolling_Mean_7
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,723.5,4.761904762,36.175,5.4,2019,1,20,6,1,0,723.5,243.5885714285714
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,Cash,183.66,4.761904762,9.183,9.3,2019,3,12,1,0,0,183.66,358.8342857142857
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47,Credit card,74.22,4.761904762,3.711,10.0,2019,2,15,4,0,0,74.22,358.4171428571428
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,Ewallet,334.38,4.761904762,16.719,7.0,2019,2,24,6,1,0,334.38,231.2542857142857
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,2019,2,3,6,1,0,495.63,391.2371428571428
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,4.761904762,7.905,8.6,2019,3,6,2,0,0,158.1,313.44714285714286
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,Cash,302.96,4.761904762,15.148,7.6,2019,2,14,3,0,0,302.96,345.32
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,158.7,4.761904762,7.935,5.8,2019,3,13,2,0,1,158.7,335.98999999999995
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43,Ewallet,66.94,4.761904762,3.347,6.7,2019,2,10,6,1,0,66.94,317.9585714285714
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,Ewallet,585.66,4.761904762,29.283,9.9,2019,1,7,0,0,0,585.66,311.1971428571428
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,787.7,4.761904762,39.385,6.4,2019,1,24,3,0,0,787.6999999999999,330.2271428571429
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,4.761904762,0.9165,4.3,2019,2,2,5,1,0,18.33,257.81142857142856
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,4.761904762,44.74,9.6,2019,1,6,6,1,0,894.8000000000001,509.5314285714286
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,4.761904762,31.06,5.9,2019,2,11,0,0,0,621.1999999999999,395.1514285714285
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,Ewallet,145.56,4.761904762,7.278,4.0,2019,3,5,1,0,0,145.56,467.2114285714286
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,Cash,455.46,4.761904762,22.773,8.7,2019,3,9,5,1,0,455.46,362.4428571428572
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,2019,1,22,1,0,0,672.03,292.8357142857143
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,416.5,4.761904762,20.825,5.4,2019,1,13,6,1,0,416.5,397.25714285714287
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,Credit card,441.36,4.761904762,22.068,8.6,2019,1,9,2,0,0,441.36,433.15428571428566
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,4.761904762,9.0045,5.7,2019,1,12,5,1,0,180.09,391.6457142857143
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,783.1,4.761904762,39.155,6.6,2019,3,5,1,0,0,783.1,522.2714285714286
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,101.9,4.761904762,5.095,6.0,2019,1,22,1,0,0,101.89999999999999,267.97714285714284
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,Credit card,595.14,4.761904762,29.757,5.5,2019,1,21,0,0,0,595.14,280.11
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56,Ewallet,290.04,4.761904762,14.502,6.4,2019,1,26,5,1,0,290.04,450.9057142857143
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,4.761904762,7.7,6.6,2019,1,23,2,0,0,154.0,447.1785714285715
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,Credit card,321.44,4.761904762,16.072,8.3,2019,2,23,5,1,0,321.44,401.6985714285715
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,244.55,4.761904762,12.2275,6.6,2019,3,9,5,1,0,244.54999999999998,355.43142857142857
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,Ewallet,581.42,4.761904762,29.071,4.0,2019,3,5,1,0,0,581.4200000000001,393.7628571428572
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,4.761904762,19.13,9.9,2019,3,25,0,0,0,382.59999999999997,328.25999999999993
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,Credit card,345.66,4.761904762,17.283,7.3,2019,3,27,2,0,0,345.66,419.22857142857146
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,4.761904762,2.1235,5.7,2019,1,2,2,0,0,42.47,340.58428571428567
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55,Cash,461.94,4.761904762,23.097,6.1,2019,2,27,2,0,0,461.93999999999994,243.70142857142855
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,189.52,4.761904762,9.476,7.1,2019,1,23,2,0,0,189.52,307.52142857142854
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,4.761904762,22.43,8.2,2019,1,26,5,1,0,448.6,394.06714285714287
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,4.761904762,7.693,5.1,2019,1,10,3,0,0,153.86,345.24285714285713
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,579.24,4.761904762,28.962,8.6,2019,3,12,1,0,0,579.24,283.16999999999996
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,89.75,4.761904762,4.4875,6.6,2019,2,6,2,0,0,89.75,273.32
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,97.16,4.761904762,4.858,7.2,2019,3,8,4,0,0,97.16,332.86285714285714
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,878.7,4.761904762,43.935,5.1,2019,3,29,4,0,0,878.7,389.2857142857143
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11,Cash,74.7,4.761904762,3.735,4.1,2019,2,9,5,1,0,74.69999999999999,289.84285714285716
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,2019,3,23,5,1,0,158.25,314.00714285714287
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,4.761904762,24.81,7.4,2019,3,5,1,0,0,496.20000000000005,362.37571428571425
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Cash,48.71,4.761904762,2.4355,4.1,2019,3,26,1,0,0,48.71,325.0071428571428
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,706.95,4.761904762,35.3475,7.2,2019,3,1,4,0,0,706.9499999999999,423.79571428571427
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,207.63,4.761904762,10.3815,4.9,2019,2,1,4,0,0,207.63,303.2785714285714
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,349.56,4.761904762,17.478,9.9,2019,3,28,3,0,0,349.56,343.15000000000003
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,Cash,212.45,4.761904762,10.6225,8.0,2019,3,19,1,0,0,212.45000000000002,417.01714285714286
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,4.761904762,44.335,7.3,2019,1,12,5,1,0,886.7,331.6871428571429
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,Credit card,164.28,4.761904762,8.214,7.9,2019,1,5,5,1,0,164.28,363.59857142857146
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19,Cash,372.78,4.761904762,18.639,7.4,2019,3,22,4,0,0,372.78000000000003,375.9114285714286
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43,Cash,305.82,4.761904762,15.291,4.2,2019,3,24,6,1,0,305.82,274.96714285714285
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30,Cash,819.7,4.761904762,40.985,9.2,2019,3,3,6,1,0,819.7,422.55000000000007
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32,Ewallet,32.98,4.761904762,1.649,4.6,2019,2,5,1,0,0,32.98,268.0942857142857
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41,Credit card,294.63,4.761904762,14.7315,7.8,2019,2,5,1,0,0,294.63,444.55
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44,Cash,509.88,4.761904762,25.494,8.4,2019,2,15,4,0,0,509.88,347.69571428571425
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,2019,1,19,5,1,0,522.63,432.42
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,Credit card,727.11,4.761904762,36.3555,9.5,2019,2,1,4,0,0,727.11,523.6242857142857
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,Credit card,81.06,4.761904762,4.053,7.1,2019,3,2,5,1,0,81.06,296.22428571428566
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,Ewallet,109.7,4.761904762,5.485,5.3,2019,3,5,1,0,0,109.7,286.1685714285714
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,Ewallet,51.36,4.761904762,2.568,5.2,2019,1,16,2,0,0,51.36,238.84857142857143
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,4.761904762,5.48,6.0,2019,2,2,5,1,0,109.60000000000001,249.19000000000003
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38,Ewallet,106.88,4.761904762,5.344,4.1,2019,1,20,6,1,0,106.88,435.5357142857143
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,Credit card,796.48,4.761904762,39.824,5.2,2019,2,14,3,0,0,796.48,471.2671428571429
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,399.84,4.761904762,19.992,6.5,2019,1,12,5,1,0,399.84,290.27857142857147
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,Credit card,899.64,4.761904762,44.982,4.2,2019,3,9,5,1,0,899.64,335.73857142857145
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52,Credit card,511.28,4.761904762,25.564,4.6,2019,3,13,2,0,1,511.28,460.8071428571428
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,Ewallet,451.76,4.761904762,22.588,7.3,2019,3,9,5,1,0,451.76,296.4271428571428
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,655.83,4.761904762,32.7915,4.5,2019,3,10,6,1,0,655.8299999999999,458.49285714285713
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,161.25,4.761904762,8.0625,9.0,2019,1,27,6,1,0,161.25,352.7071428571429
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,Credit card,285.57,4.761904762,14.2785,5.9,2019,1,8,1,0,0,285.57,236.23000000000002
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,Ewallet,548.32,4.761904762,27.416,8.5,2019,1,8,1,0,0,548.32,305.5214285714286
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15,Ewallet,812.52,4.761904762,40.626,7.2,2019,2,8,4,0,0,812.52,404.69571428571425
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18,Cash,277.34,4.761904762,13.867,7.5,2019,1,25,4,0,0,277.34,252.38142857142856
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,552.78,4.761904762,27.639,8.3,2019,3,6,2,0,0,552.78,461.6842857142857
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,Cash,139.36,4.761904762,6.968,7.4,2019,2,10,6,1,0,139.36,428.3385714285714
